bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
वि॒ध॒र्त॒रिति॑विbऽधर्तः,,,वि॒ध॒र्त॒रिति॑विऽधर्तः ।,वि॒ध॒र्त॒रिति॑विऽधर्तः
स॒च॒से॒पुर॑न्ध्या,पुर॑म्ऽध्या स॒च॒से॒,स॒च॒से॒पुर॑न्ध्या,स॒च॒से॒पुर॑न्ध्या पुर॑म्ऽध्या स॒च॒से॒ स॒च॒से॒पुर॑न्ध्या ।,स॒च॒से॒पुर॑न्ध्यापुर॑म्ऽध्यास॒च॒से॒स॒च॒से॒पुर॑न्ध्या
पुर॒न्ध्येति॒पुरं॑bऽध्याb॥३b॥,,,पुर॒न्ध्येति॒पुरं॑ऽध्या॥३॥ ,पुर॒न्ध्येति॒पुरं॑ऽध्या
त्‍वम॑ग्ने,अ॒ग्ने॒ त्वम्,त्‍वम॑ग्ने,त्‍वम॑ग्ने अ॒ग्ने॒ त्वम् त्‍वम॑ग्ने ।,"त्‍वम॑ग्नेऽ॒ग्ने॒त्वन्त्‍वम॑ग्ने, त्‍वम॑ग्नेऽ॒ग्ने॒त्वं  त्‍वम॑ग्ने"
अ॒ग्ने॒राजा॑,राजा॑ अ॒ग्ने॒,अ॒ग्ने॒राजा॑,अ॒ग्ने॒राजा॑ राजा॑ अ॒ग्ने॒ अ॒ग्ने॒राजा॑ ।,अ॒ग्ने॒राजा॑राजा॑अ॒ग्ने॒अ॒ग्ने॒राजा॑
राजा॒वरु॑णः,वरु॑णः राजा॑,राजा॒वरु॑णः,राजा॒वरु॑णः वरु॑णः राजा॑ राजा॒वरु॑णः ।,राजा॒वरु॑णो वरु॑णो राजा॑राजा॒वरु॑णः
वरु॑णोधृ॒तव्र॑तः,धृ॒तऽव्र॑तः वरु॑णः,वरु॑णोधृ॒तव्र॑तः,वरु॑णोधृ॒तव्र॑तः धृ॒तऽव्र॑तः वरु॑णः वरु॑णोधृ॒तव्र॑तः ।,वरु॑णोधृ॒तव्र॑तो धृ॒तऽव्र॑तो वरु॑णो वरु॑णोधृ॒तव्र॑तः
धृ॒तव्र॑त॒स्त्‍वम्,त्वम् धृ॒तऽव्र॑तः,धृ॒तव्र॑त॒स्त्‍वम्,धृ॒तव्र॑त॒स्त्‍वम् त्वम् धृ॒तऽव्र॑तः धृ॒तव्र॑त॒स्त्‍वम् ।,"धृ॒तव्र॑त॒स्त्‍वन्त्वन्धृ॒तऽव्र॑तो धृ॒तव्र॑त॒स्त्‍वम्, धृ॒तव्र॑त॒स्त्‍वन्त्वं  धृ॒तऽव्र॑तो धृ॒तव्र॑त॒स्त्‍वम्, धृ॒तव्र॑त॒स्त्‍वं  त्वन्धृ॒तऽव्र॑तो धृ॒तव्र॑त॒स्त्‍वम्, धृ॒तव्र॑त॒स्त्‍वं  त्वं  धृ॒तऽव्र॑तो धृ॒तव्र॑त॒स्त्‍वम्"
धृ॒तव्र॑त॒इति॑धृ॒तbऽव्र॑तः,,,धृ॒तव्र॑त॒इति॑धृ॒तऽव्र॑तः ।,धृ॒तव्र॑त॒इति॑धृ॒तऽव्र॑तः
त्‍वंमि॒त्रः,मि॒त्रः त्वम्,त्‍वंमि॒त्रः,त्‍वंमि॒त्रः मि॒त्रः त्वम् त्‍वंमि॒त्रः ।,"त्‍वंमि॒त्रो मि॒त्रस्त्वन्त्‍वंमि॒त्रः, त्‍वंमि॒त्रो मि॒त्रस्त्वं  त्‍वंमि॒त्रः"
मि॒त्रोभ॑वसि,भ॒व॒सि॒ मि॒त्रः,मि॒त्रोभ॑वसि,मि॒त्रोभ॑वसि भ॒व॒सि॒ मि॒त्रः मि॒त्रोभ॑वसि ।,मि॒त्रोभ॑वसिभ॒व॒सि॒मि॒त्रो मि॒त्रोभ॑वसि
भ॒व॒सि॒द॒स्मः,द॒स्मः भ॒व॒सि॒,भ॒व॒सि॒द॒स्मः,भ॒व॒सि॒द॒स्मः द॒स्मः भ॒व॒सि॒ भ॒व॒सि॒द॒स्मः ।,भ॒व॒सि॒द॒स्मो द॒स्मो भ॒व॒सि॒भ॒व॒सि॒द॒स्मः
द॒स्मईड्यः॑,ईड्यः॑ द॒स्मः,द॒स्मईड्यः॑,द॒स्मईड्यः॑ ईड्यः॑ द॒स्मः द॒स्मईड्यः॑ ।,द॒स्मईड्यः॑ईड्यः॑द॒स्मो द॒स्मईड्यः॑
ईड्य॒इतीड्यः॑b॥,,,ईड्य॒इतीड्यः॑॥ ,ईड्य॒इतीड्यः॑
त्‍वम॑र्य॒मा,अ॒र्य॒मा त्वम्,त्‍वम॑र्य॒मा,त्‍वम॑र्य॒मा अ॒र्य॒मा त्वम् त्‍वम॑र्य॒मा ।,"त्‍वम॑र्य॒मा॒र्य॒मात्वन्त्‍वम॑र्य॒मा, त्‍वम॑र्य॒मा॒र्य॒मात्वं  त्‍वम॑र्य॒मा"
अ॒र्य॒मासत्प॑तिः,सत्ऽप॑तिः अ॒र्य॒मा,अ॒र्य॒मासत्प॑तिः,अ॒र्य॒मासत्प॑तिः सत्ऽप॑तिः अ॒र्य॒मा अ॒र्य॒मासत्प॑तिः ।,"अ॒र्य॒मासत्प॑तिस्सत्ऽप॑तिर॒र्य॒मा॒र्य॒मासत्प॑तिः, अ॒र्य॒मासत्प॑तिः  सत्ऽप॑तिर॒र्य॒मा॒र्य॒मासत्प॑तिः"
सत्प॑ति॒र्यस्य॑,यस्य॑ सत्ऽप॑तिः,सत्प॑ति॒र्यस्य॑,सत्प॑ति॒र्यस्य॑ यस्य॑ सत्ऽप॑तिः सत्प॑ति॒र्यस्य॑ ।,"सत्प॑ति॒र्यस्य॑यस्य॑सत्ऽप॑तिस्सत्प॑ति॒र्यस्य॑, सत्प॑ति॒र्यस्य॑यस्य॑सत्ऽप॑तिः  सत्प॑ति॒र्यस्य॑"
सत्प॑ति॒रिति॒सत्bऽप॑तिः,,,सत्प॑ति॒रिति॒सत्ऽप॑तिः ।,सत्प॑ति॒रिति॒सत्ऽप॑तिः
यस्य॑सं॒भुज॑म्,स॒म्ऽभुज॑म् यस्य॑,यस्य॑सं॒भुज॑म्,यस्य॑सं॒भुज॑म् स॒म्ऽभुज॑म् यस्य॑ यस्य॑सं॒भुज॑म् ।,"यस्य॑सं॒भुज॑ं  स॒म्ऽभुज॑ँयस्य॑यस्य॑सं॒भुज॑म्, यस्य॑सं॒भुज॑ं  स॒म्ऽभुज॑ं  यस्य॑यस्य॑सं॒भुज॑म्"
सं॒भुजं॒त्‍वम्,त्वम् स॒म्ऽभुज॑म्,सं॒भुजं॒त्‍वम्,सं॒भुजं॒त्‍वम् त्वम् स॒म्ऽभुज॑म् सं॒भुजं॒त्‍वम् ।,"सं॒भुजं॒त्‍वन्त्वं  स॒म्ऽभुज॑ं  सं॒भुजं॒त्‍वम्, सं॒भुजं॒त्‍वं  त्वं  स॒म्ऽभुज॑ं  सं॒भुजं॒त्‍वम्"
सं॒भुज॒मिति॑सं॒bऽभुज॑म्,,,सं॒भुज॒मिति॑सं॒ऽभुज॑म् ।,सं॒भुज॒मिति॑सं॒ऽभुज॑म्
त्‍वमंशः॑,अंशः॑ त्वम्,त्‍वमंशः॑,त्‍वमंशः॑ अंशः॑ त्वम् त्‍वमंशः॑ ।,"त्‍वमंशः॑अंशः॑त्वन्त्‍वमंशः॑, त्‍वमंशः॑अंशः॑त्वं  त्‍वमंशः॑"
अंशो॑वि॒दथे॑,वि॒दथे॑ अंशः॑,अंशो॑वि॒दथे॑,अंशो॑वि॒दथे॑ वि॒दथे॑ अंशः॑ अंशो॑वि॒दथे॑ ।,अंशो॑वि॒दथे॑वि॒दथे॑अंशः॑अंशो॑वि॒दथे॑
वि॒दथे॑देव,दे॒व॒ वि॒दथे॑,वि॒दथे॑देव,वि॒दथे॑देव दे॒व॒ वि॒दथे॑ वि॒दथे॑देव ।,वि॒दथे॑देवदे॒व॒वि॒दथे॑वि॒दथे॑देव
दे॒व॒भा॒ज॒युः,भा॒ज॒युः दे॒व॒,दे॒व॒भा॒ज॒युः,दे॒व॒भा॒ज॒युः भा॒ज॒युः दे॒व॒ दे॒व॒भा॒ज॒युः ।,दे॒व॒भा॒ज॒युर्भा॒ज॒युर्दे॒व॒दे॒व॒भा॒ज॒युः
भा॒ज॒युरिति॑भा॒ज॒युःb॥४b॥,,,भा॒ज॒युरिति॑भा॒ज॒युः॥४॥ ,भा॒ज॒युरिति॑भा॒ज॒युः
त्‍वम॑ग्ने,अ॒ग्ने॒ त्वम्,त्‍वम॑ग्ने,त्‍वम॑ग्ने अ॒ग्ने॒ त्वम् त्‍वम॑ग्ने ।,"त्‍वम॑ग्नेऽ॒ग्ने॒त्वन्त्‍वम॑ग्ने, त्‍वम॑ग्नेऽ॒ग्ने॒त्वं  त्‍वम॑ग्ने"
अ॒ग्ने॒त्‍वष्टा॑,त्वष्टा॑ अ॒ग्ने॒,अ॒ग्ने॒त्‍वष्टा॑,अ॒ग्ने॒त्‍वष्टा॑ त्वष्टा॑ अ॒ग्ने॒ अ॒ग्ने॒त्‍वष्टा॑ ।,अ॒ग्ने॒त्‍वष्टा॑त्वष्टा॑अ॒ग्ने॒अ॒ग्ने॒त्‍वष्टा॑
त्‍वष्टा॑विद॒थे,वि॒ध॒ते त्वष्टा॑,त्‍वष्टा॑विद॒थे,त्‍वष्टा॑विद॒थे वि॒ध॒ते त्वष्टा॑ त्‍वष्टा॑विद॒थे ।,त्‍वष्टा॑विद॒थेवि॒ध॒तेत्वष्टा॑त्‍वष्टा॑विद॒थे
वि॒द॒थेसु॒वीर्य॑म्,सु॒ऽवीर्य॑म् वि॒ध॒ते,वि॒द॒थेसु॒वीर्य॑म्,वि॒द॒थेसु॒वीर्य॑म् सु॒ऽवीर्य॑म् वि॒ध॒ते वि॒द॒थेसु॒वीर्य॑म् ।,"वि॒द॒थेसु॒वीर्य॑ं  सु॒ऽवीर्य॑ँवि॒ध॒तेवि॒द॒थेसु॒वीर्य॑म्, वि॒द॒थेसु॒वीर्य॑ं  सु॒ऽवीर्य॑ं  वि॒ध॒तेवि॒द॒थेसु॒वीर्य॑म्"
सु॒वीर्यं॒तव॑,तव॑ सु॒ऽवीर्य॑म्,सु॒वीर्यं॒तव॑,सु॒वीर्यं॒तव॑ तव॑ सु॒ऽवीर्य॑म् सु॒वीर्यं॒तव॑ ।,सु॒वीर्यं॒तव॑तव॑सु॒ऽवीर्य॑ं  सु॒वीर्यं॒तव॑
सु॒वीर्य॒मिति॑सु॒bऽवीर्य॑म्,,,सु॒वीर्य॒मिति॑सु॒ऽवीर्य॑म् ।,सु॒वीर्य॒मिति॑सु॒ऽवीर्य॑म्
तव॒ग्नावः॑,ग्नावः॑ तव॑,तव॒ग्नावः॑,तव॒ग्नावः॑ ग्नावः॑ तव॑ तव॒ग्नावः॑ ।,तव॒ग्नावः॑ग्नावः॑तव॑तव॒ग्नावः॑
